mp_id	fullname	year	guid	format	decl_url
15773	Москаленко Ярослав Миколайович	2014	e8b1218d-b349-4691-888f-39106671aefd	json	http://itd.rada.gov.ua/declview/Home/Main/15773/2014
15773	Москаленко Ярослав Миколайович	2015	83be20a9-07aa-46cb-89b9-d79a895e0ca8	json	http://itd.rada.gov.ua/declview/Home/Main/15773/2015
15819	Мураєв Євгеній Володимирович	2013	f8ed5fc5-51d1-4ab8-80d6-9c627e143a4d	json	http://itd.rada.gov.ua/declview/Home/Main/15819/2013
15819	Мураєв Євгеній Володимирович	2014	c1b25b33-7352-4644-8866-7a6644614c8b	json	http://itd.rada.gov.ua/declview/Home/Main/15819/2014
16517	Мусій Олег Степанович	2013	28f793fa-b713-473e-8a54-3150f4a7acae	json	http://itd.rada.gov.ua/declview/Home/Main/16517/2013
16517	Мусій Олег Степанович	2014	9a844042-1df0-4164-87fd-3a1d3c1e7067	json	http://itd.rada.gov.ua/declview/Home/Main/16517/2014
16517	Мусій Олег Степанович	2015	4055781f-05f7-4727-8889-3f4a9b7f9f58	json	http://itd.rada.gov.ua/declview/Home/Main/16517/2015
17996	Мушак Олексій Петрович	2013	16ed49da-9019-4151-8800-4767a70da556	json	http://itd.rada.gov.ua/declview/Home/Main/17996/2013
17996	Мушак Олексій Петрович	2014	8690edbb-21ec-4fee-81b8-bf61acb3fd4c	json	http://itd.rada.gov.ua/declview/Home/Main/17996/2014
17996	Мушак Олексій Петрович	2015	e4a25df7-a85a-4af2-8907-7d69d18db8eb	json	http://itd.rada.gov.ua/declview/Home/Main/17996/2015
18037	Німченко Василь Іванович	2013	756796a8-3c77-4a6f-85e7-4ce75ae08ef8	json	http://itd.rada.gov.ua/declview/Home/Main/18037/2013
18037	Німченко Василь Іванович	2014	d1123e9a-c872-4144-8bf6-81f298492ebf	json	http://itd.rada.gov.ua/declview/Home/Main/18037/2014
18037	Німченко Василь Іванович	2015	3499a1ee-ec48-4a61-8953-1eb6d611061c	json	http://itd.rada.gov.ua/declview/Home/Main/18037/2015
17978	Найєм Мустафа-Масі	2013	a502f6d4-cc1b-421b-8519-5c3f09e47688	json	http://itd.rada.gov.ua/declview/Home/Main/17978/2013
17978	Найєм Мустафа-Масі	2014	5333fc2c-f02f-4f41-8d64-28c2f0f1ea68	json	http://itd.rada.gov.ua/declview/Home/Main/17978/2014
17978	Найєм Мустафа-Масі	2015	112c3f36-8da2-448c-8900-cc58776440b9	json	http://itd.rada.gov.ua/declview/Home/Main/17978/2015
17666	Насіров Роман Михайлович	2013	80f09728-d042-4cf4-8ceb-1341269e0fb7	json	http://itd.rada.gov.ua/declview/Home/Main/17666/2013
17666	Насіров Роман Михайлович	2014	8d4db2bf-edd4-4b0d-8599-ceb919ec5dc0	json	http://itd.rada.gov.ua/declview/Home/Main/17666/2014
2370	Насалик Ігор Степанович	2013	bf770e76-f3fd-4a3a-88c4-764a877c10d9	json	http://itd.rada.gov.ua/declview/Home/Main/2370/2013
2370	Насалик Ігор Степанович	2014	8c195f5f-2ce6-483b-8005-411bc41812bd	json	http://itd.rada.gov.ua/declview/Home/Main/2370/2014
2370	Насалик Ігор Степанович	2015	4cc5d26a-56aa-494f-8d15-d40760268076	json	http://itd.rada.gov.ua/declview/Home/Main/2370/2015
15823	Негой Федір Федорович	2012	af75e664-d3ad-4f9c-8fc7-007e1e76d5f3	json	http://itd.rada.gov.ua/declview/Home/Main/15823/2012
15823	Негой Федір Федорович	2013	e80beb5b-7b27-400d-8594-7d4f3aa9463e	json	http://itd.rada.gov.ua/declview/Home/Main/15823/2013
15823	Негой Федір Федорович	2014	3e497d73-9302-4b73-86e8-1d76c2cf14aa	json	http://itd.rada.gov.ua/declview/Home/Main/15823/2014
15823	Негой Федір Федорович	2015	012f0050-afc1-4152-839d-e9f15aa250b0	json	http://itd.rada.gov.ua/declview/Home/Main/15823/2015
18122	Недава Олег Анатолійович	2013	5e022cdf-9e3e-4e7a-8eb4-68ae4bf99d24	json	http://itd.rada.gov.ua/declview/Home/Main/18122/2013
18122	Недава Олег Анатолійович	2014	6ff6257c-b853-4206-8774-9bb2ac8c3889	json	http://itd.rada.gov.ua/declview/Home/Main/18122/2014
18122	Недава Олег Анатолійович	2015	840bbda1-d297-4a6b-8ba7-093836fdcf3e	json	http://itd.rada.gov.ua/declview/Home/Main/18122/2015
19058	Немировський Андрій Валентинович	2014	b76034da-457f-44b5-8edc-5b112820f0c2	json	http://itd.rada.gov.ua/declview/Home/Main/19058/2014
19058	Немировський Андрій Валентинович	2015	da2c0686-b9e3-49dc-889b-29430c481d10	json	http://itd.rada.gov.ua/declview/Home/Main/19058/2015
8830	Немиря Григорій Михайлович	2013	66421097-ed26-4cae-87e1-3eb5a7809354	json	http://itd.rada.gov.ua/declview/Home/Main/8830/2013
8830	Немиря Григорій Михайлович	2014	4e62d7ab-6d74-4720-876e-088eafdf2500	json	http://itd.rada.gov.ua/declview/Home/Main/8830/2014
8830	Немиря Григорій Михайлович	2015	2f0a76bb-0cbf-4301-88a5-97ea88fb3891	json	http://itd.rada.gov.ua/declview/Home/Main/8830/2015
18123	Нестеренко Вадим Григорович	2013	4d4f977b-0d14-4d6c-8707-9c3ac53412da	json	http://itd.rada.gov.ua/declview/Home/Main/18123/2013
18123	Нестеренко Вадим Григорович	2014	bac5ea74-8675-437d-81e2-7cbeb33e25f1	json	http://itd.rada.gov.ua/declview/Home/Main/18123/2014
18123	Нестеренко Вадим Григорович	2015	6dc481b6-6cda-4288-881a-ea9b30c56203	json	http://itd.rada.gov.ua/declview/Home/Main/18123/2015
15725	Нечаєв Олександр Ігоревич	2013	8a8b2f3c-ebe0-4510-8ebf-2ea28e949892	json	http://itd.rada.gov.ua/declview/Home/Main/15725/2013
15725	Нечаєв Олександр Ігоревич	2014	b96ecae5-91b7-45db-8fd2-38b796bea027	json	http://itd.rada.gov.ua/declview/Home/Main/15725/2014
15725	Нечаєв Олександр Ігоревич	2015	1d4c9d25-63e9-429b-8176-d8fa8fd0684b	json	http://itd.rada.gov.ua/declview/Home/Main/15725/2015
15830	Ничипоренко Валентин Миколайович	2013	233abe75-e713-4b80-89ab-ffdecee563e0	json	http://itd.rada.gov.ua/declview/Home/Main/15830/2013
15830	Ничипоренко Валентин Миколайович	2014	ec3fd45a-e762-46d7-83b8-80c45c2289aa	json	http://itd.rada.gov.ua/declview/Home/Main/15830/2014
15830	Ничипоренко Валентин Миколайович	2015	ae9537bc-2ef9-44b7-8ee8-c711d2942a12	json	http://itd.rada.gov.ua/declview/Home/Main/15830/2015
13379	Новак Наталія Василівна	2013	1d889f94-c4b7-4904-8912-d4d32488dcda	json	http://itd.rada.gov.ua/declview/Home/Main/13379/2013
13379	Новак Наталія Василівна	2014	af38ccae-b4e7-4148-826f-2d9aff949a58	json	http://itd.rada.gov.ua/declview/Home/Main/13379/2014
13379	Новак Наталія Василівна	2015	2439dfaf-4d9e-40f3-8a8b-03303fac257e	json	http://itd.rada.gov.ua/declview/Home/Main/13379/2015
17108	Новинський Вадим Владиславович	2013	b28f09c8-9262-42d4-8205-eb232a9c1fb0	json	http://itd.rada.gov.ua/declview/Home/Main/17108/2013
17108	Новинський Вадим Владиславович	2014	545e9b40-1df4-4831-8e69-0fd237192a9d	json	http://itd.rada.gov.ua/declview/Home/Main/17108/2014
17108	Новинський Вадим Владиславович	2015	a1888b22-c6bc-44d4-856e-c151394d6666	json	http://itd.rada.gov.ua/declview/Home/Main/17108/2015
18040	Огнєвіч Злата Леонідівна	2013	e394cd91-608e-4824-8854-8404e73f8e91	json	http://itd.rada.gov.ua/declview/Home/Main/18040/2013
18040	Огнєвіч Злата Леонідівна	2014	86daae1f-770b-4fc3-807b-b19532b188ce	json	http://itd.rada.gov.ua/declview/Home/Main/18040/2014
8832	Одарченко Юрій Віталійович	2015	5c056f1b-d0d6-4120-8d1d-fa1580f1383c	json	http://itd.rada.gov.ua/declview/Home/Main/8832/2015
13562	Омельянович Денис Сергійович	2013	eae45095-181d-4f25-8495-50a88741449a	json	http://itd.rada.gov.ua/declview/Home/Main/13562/2013
13562	Омельянович Денис Сергійович	2014	3804f3d8-e85f-4b8e-87ad-fff127d4b818	json	http://itd.rada.gov.ua/declview/Home/Main/13562/2014
13562	Омельянович Денис Сергійович	2015	0c4e3960-3e55-480c-80b7-0ea044643d7a	json	http://itd.rada.gov.ua/declview/Home/Main/13562/2015
15771	Онищенко Олександр Романович	2013	2f03039d-f64d-4b69-8789-8f4319b6bfef	json	http://itd.rada.gov.ua/declview/Home/Main/15771/2013
15771	Онищенко Олександр Романович	2014	d5b8e414-519f-448e-8e6d-8883c8314a75	json	http://itd.rada.gov.ua/declview/Home/Main/15771/2014
15771	Онищенко Олександр Романович	2015	d758edf3-d84c-47b3-812e-afd1f9297c82	json	http://itd.rada.gov.ua/declview/Home/Main/15771/2015
17982	Онуфрик Богдан Семенович	2013	1b242fa8-7f65-4abb-8948-5f1ea812c3cd	json	http://itd.rada.gov.ua/declview/Home/Main/17982/2013
17982	Онуфрик Богдан Семенович	2014	17b4e922-dee6-4147-8631-da8db2199d73	json	http://itd.rada.gov.ua/declview/Home/Main/17982/2014
17982	Онуфрик Богдан Семенович	2015	5dcf1851-8e42-4770-8fba-f0562a45b338	json	http://itd.rada.gov.ua/declview/Home/Main/17982/2015
18019	Опанасенко Олександр Валерійович	2013	bc84c45a-fab9-4c5a-8181-a0833e79a7ea	json	http://itd.rada.gov.ua/declview/Home/Main/18019/2013
18019	Опанасенко Олександр Валерійович	2014	e0ee8c88-1967-4a57-8734-f40d5fbd51d5	json	http://itd.rada.gov.ua/declview/Home/Main/18019/2014
18019	Опанасенко Олександр Валерійович	2015	c311ec52-7db1-440e-8fd2-56503341014c	json	http://itd.rada.gov.ua/declview/Home/Main/18019/2015
15817	Остапчук Віктор Миколайович	2013	294e5174-a821-4c42-84c6-e3e360eee9ef	json	http://itd.rada.gov.ua/declview/Home/Main/15817/2013
